id,value
id_0,25.497503206817406
id_1,64.51319052525153
id_2,19.105589437363705
id_3,28.866832953581245
id_4,9.304531227079652
id_5,31.648878490642083
id_6,41.300083474171274
id_7,16.852524307786485
id_8,51.538961366712336
id_9,32.72870670371435
id_10,37.91272482841775
id_11,58.80286593962127
id_12,35.42184242337105
id_13,40.02064476948531
id_14,28.26918906069143
id_15,12.19963478625623
id_16,51.370230659900734
id_17,23.117094497156128
id_18,16.601325953485674
id_19,18.215550600130783
id_20,15.532976438234876
id_21,30.1486259032254
id_22,39.51609413526849
id_23,10.140003176639325
id_24,61.194123554658916
id_25,46.26073505701314
id_26,27.26533676080341
id_27,7.291158617152718
id_28,29.398766691236858
id_29,35.79897001476547
id_30,18.03373651425714
id_31,11.571816497585989
id_32,16.730346804714483
id_33,7.677100672992836
id_34,16.09334516239865
id_35,42.84266079949889
id_36,22.229507378548504
id_37,27.604703076930637
id_38,10.124566841009704
id_39,57.740324762534485
id_40,46.92799803366702
id_41,20.06279423881477
id_42,53.20937359514838
id_43,18.47255561350983
id_44,44.29620837607286
id_45,49.92880631308282
id_46,57.889582010055506
id_47,40.93264818878705
id_48,55.16991614124315
id_49,39.485761672530614
id_50,30.651437896699065
id_51,23.59788196133826
id_52,40.50142386524591
id_53,24.49431060717119
id_54,37.022077063809036
id_55,38.56119568883153
id_56,24.529155304697483
id_57,21.350414671220086
id_58,35.61945566250484
id_59,32.6913152835385
id_60,12.581884615742094
id_61,22.938767325081727
id_62,31.7952463197775
id_63,53.05673295532145
id_64,50.067622421797864
id_65,26.022360619390273
id_66,38.19022776983224
id_67,52.23586819243228
id_68,29.17925112682596
id_69,39.1310166107412
id_70,64.95027504562114
id_71,55.44190065211258
id_72,42.441626588834986
id_73,14.208135406425184
id_74,13.954949892584962
id_75,35.49565667842545
id_76,62.97767646738374
id_77,2.224295036388323
id_78,41.71025758969054
id_79,41.90224692842264
id_80,8.704875413392111
id_81,21.81973989676007
id_82,5.934770537412071
id_83,31.342439813654412
id_84,8.535545124733453
id_85,4.981667780198814
id_86,16.847933004527412
id_87,11.602472283510686
id_88,18.90456026814658
id_89,23.184557077086428
id_90,35.25179830016872
id_91,12.317190827408309
id_92,11.95327040772737
id_93,9.835414747207686
id_94,37.598341160059064
id_95,15.284201133865956
id_96,17.118249079268562
id_97,9.192083987558725
id_98,10.80252309647241
id_99,4.559512165427781
id_100,10.352194949815463
id_101,18.652592655567105
id_102,11.716175984287588
id_103,8.83122343189099
id_104,12.658769370576518
id_105,36.84317794242301
id_106,24.159999785382038
id_107,7.968545564980472
id_108,16.853537006766622
id_109,15.524924716867794
id_110,11.590364647986483
id_111,15.552383385938418
id_112,16.53084477178086
id_113,25.45316203635946
id_114,19.5840178120515
id_115,15.981689599497155
id_116,7.5657867465829725
id_117,44.97483188788627
id_118,26.06415990814882
id_119,0.6194660921194743
id_120,-0.10065725061811803
id_121,10.3240130864586
id_122,12.525229277426122
id_123,12.260328342657902
id_124,7.442355935000819
id_125,25.045864649724216
id_126,22.71086233918637
id_127,9.531887849730406
id_128,20.058936391165187
id_129,13.713074810857542
id_130,-0.4641543983087566
id_131,32.35765141608079
id_132,14.876208837747594
id_133,21.261085265995572
id_134,26.63852560801122
id_135,24.74354019611279
id_136,9.808575907231273
